pretty_formula,material_id,num_atoms,host_energy_per_atom,Li_energy_per_atom,Na_energy_per_atom,Li_voltage,Na_voltage,cif
Rb2LiBi2O5,mp-975106,10,-5.001463259249913,-4.84035177230296,-4.775824414240258,-1.552851610219622,-0.2786264193729808,"# generated using pymatgen
data_Rb2LiBi2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.48385027
_cell_length_b   4.49963866
_cell_length_c   4.64254635
_cell_angle_alpha   90.00008974
_cell_angle_beta   89.99999977
_cell_angle_gamma   89.99986679
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2LiBi2O5
_chemical_formula_sum   'Rb2 Li1 Bi2 O5'
_cell_volume   177.22577452
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  -0.00000110  -0.00000051  -0.00000953  1
  Rb  Rb1  1  0.50000239  -0.00000148  -0.00001235  1
  Li  Li2  1  0.50000997  0.00000169  0.50000405  1
  Bi  Bi3  1  0.24597690  0.50000109  0.49999372  1
  Bi  Bi4  1  0.75402719  0.49999967  0.49999365  1
  O  O5  1  0.22383455  0.49999970  0.00000926  1
  O  O6  1  0.77616614  0.49999912  0.00000939  1
  O  O7  1  0.49999541  0.49999876  0.50000091  1
  O  O8  1  0.27822665  -0.00000091  0.50000289  1
  O  O9  1  0.72176386  -0.00000211  0.50000301  1
"
LiVCl2O,mp-1216404,5,-5.365562406874623,-5.168904585803264,-4.801249412963231,-0.5609266984821693,0.9143758642001663,"# generated using pymatgen
data_LiVCl2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.88862865
_cell_length_b   3.90921912
_cell_length_c   6.86059906
_cell_angle_alpha   73.41424318
_cell_angle_beta   73.53043642
_cell_angle_gamma   90.00814282
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiVCl2O
_chemical_formula_sum   'Li1 V1 Cl2 O1'
_cell_volume   95.47760476
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50903759  0.48701253  0.98229921  1
  V  V1  1  0.99975177  0.97740858  0.00081791  1
  Cl  Cl2  1  0.63003989  0.10778775  0.74037214  1
  Cl  Cl3  1  0.37238657  0.84955060  0.25547595  1
  O  O4  1  0.00217718  0.47974954  0.99603479  1
"
LiScTl(MoO4)2,mp-19450,13,-7.246476245415779,-6.905750582993544,-6.8443930745484245,-2.126157366073268,-0.12625239021343537,"# generated using pymatgen
data_LiScTl(MoO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.01268616
_cell_length_b   6.00927571
_cell_length_c   7.21754061
_cell_angle_alpha   91.15252538
_cell_angle_beta   88.77761363
_cell_angle_gamma   122.58870770
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiScTl(MoO4)2
_chemical_formula_sum   'Li1 Sc1 Tl1 Mo2 O8'
_cell_volume   219.66375030
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.41721377  0.59858806  0.23670356  1
  Sc  Sc1  1  -0.00010373  0.00100967  0.00694231  1
  Tl  Tl2  1  0.01557729  -0.01111258  0.49794250  1
  Mo  Mo3  1  0.66352642  0.33001777  0.25542182  1
  Mo  Mo4  1  0.33237429  0.66848599  0.73688043  1
  O  O5  1  0.80971654  0.16823115  0.13894177  1
  O  O6  1  0.78314740  0.68539724  0.17825873  1
  O  O7  1  0.31265283  0.22746806  0.17766508  1
  O  O8  1  0.66119913  0.82826421  0.81548670  1
  O  O9  1  0.33210480  0.67026148  0.49049149  1
  O  O10  1  0.66211117  0.33383939  0.49498839  1
  O  O11  1  0.17693842  0.82764875  0.83825182  1
  O  O12  1  0.16687457  0.33856775  0.81535943  1
"
Li4Cr3FeO8,mp-756058,16,-6.821576241010543,-6.67156342522734,-6.5097233571159725,0.6782737147449156,0.3708205448909352,"# generated using pymatgen
data_Li4Cr3FeO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98097093
_cell_length_b   5.98074371
_cell_length_c   5.98086399
_cell_angle_alpha   60.63173176
_cell_angle_beta   60.63212859
_cell_angle_gamma   60.63175018
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li4Cr3FeO8
_chemical_formula_sum   'Li4 Cr3 Fe1 O8'
_cell_volume   153.43642426
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.00000285  0.49852977  0.00102177  1
  Li  Li1  1  0.49854000  0.00159467  -0.00046843  1
  Li  Li2  1  0.00131913  -0.00047207  0.49879955  1
  Li  Li3  1  0.49984766  0.50004324  0.50031641  1
  Cr  Cr4  1  0.00001958  0.49930111  0.50089029  1
  Cr  Cr5  1  0.50089874  0.00007996  0.49935467  1
  Cr  Cr6  1  0.49979152  0.50132552  0.00009193  1
  Fe  Fe7  1  -0.00079357  -0.00080138  -0.00032746  1
  O  O8  1  0.74125254  0.74124250  0.74091561  1
  O  O9  1  0.75741894  0.26036894  0.75812109  1
  O  O10  1  0.24198998  0.24158989  0.74033935  1
  O  O11  1  0.74044173  0.24207475  0.24171278  1
  O  O12  1  0.26045037  0.75792870  0.75758566  1
  O  O13  1  0.75787140  0.75741871  0.26033553  1
  O  O14  1  0.24154454  0.74041250  0.24225573  1
  O  O15  1  0.25940449  0.25936333  0.25905553  1
"
Ba4Li(Co2O5)2,mp-1076439,19,-6.059364549128037,-5.934135833203618,-5.872204830934096,-1.2631810534359245,0.25278904312091544,"# generated using pymatgen
data_Ba4Li(Co2O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.45915836
_cell_length_b   5.68981879
_cell_length_c   10.06596225
_cell_angle_alpha   106.44726375
_cell_angle_beta   105.69063822
_cell_angle_gamma   89.88288762
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba4Li(Co2O5)2
_chemical_formula_sum   'Ba4 Li1 Co4 O10'
_cell_volume   287.75472855
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.62640415  0.12641197  0.23101159  1
  Ba  Ba1  1  0.41560700  0.90065321  0.79171202  1
  Ba  Ba2  1  0.12332619  0.60894469  0.20892973  1
  Ba  Ba3  1  0.89568443  0.39574847  0.76882323  1
  Li  Li4  1  0.08721953  0.58564472  0.50232250  1
  Co  Co5  1  0.01512935  0.00820100  0.00072013  1
  Co  Co6  1  0.51435581  0.50762499  0.99948440  1
  Co  Co7  1  0.20417257  0.14812360  0.49914365  1
  Co  Co8  1  0.69441608  0.82320824  0.50041992  1
  O  O9  1  0.26635349  0.26153158  0.99633677  1
  O  O10  1  0.26105608  0.76273789  0.00163435  1
  O  O11  1  0.76803355  0.25356813  0.99810115  1
  O  O12  1  0.76076636  0.75632508  0.00371897  1
  O  O13  1  0.16606115  0.19247941  0.32288776  1
  O  O14  1  0.88369845  0.79677226  0.67404356  1
  O  O15  1  0.70937801  0.62231409  0.32676647  1
  O  O16  1  0.34107864  0.37379416  0.67397799  1
  O  O17  1  0.84406845  0.12841860  0.49969696  1
  O  O18  1  0.33452371  0.83083090  0.50027189  1
"
LiZn2(FeO2)4,mp-34296,15,-5.958974716022306,-5.778713162899122,-5.6418053698490205,-1.6881485808254508,1.129716895751531,"# generated using pymatgen
data_LiZn2(FeO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.20151112
_cell_length_b   6.20038254
_cell_length_c   6.06125168
_cell_angle_alpha   61.74532167
_cell_angle_beta   61.75106716
_cell_angle_gamma   57.37103632
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiZn2(FeO2)4
_chemical_formula_sum   'Li1 Zn2 Fe4 O8'
_cell_volume   165.25882845
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.02356035  0.02343537  0.48322357  1
  Zn  Zn1  1  0.10109768  0.56119942  0.66492231  1
  Zn  Zn2  1  0.56132714  0.10062746  0.66590321  1
  Fe  Fe3  1  0.98241297  0.98267356  0.02513011  1
  Fe  Fe4  1  0.29117288  0.29047013  0.20064105  1
  Fe  Fe5  1  0.62596188  0.62515792  0.13849117  1
  Fe  Fe6  1  0.62450600  0.62535486  0.61243075  1
  O  O7  1  0.40050233  0.40004264  0.36738729  1
  O  O8  1  0.39377521  0.39414340  0.83148978  1
  O  O9  1  0.40062431  0.90320244  0.33758297  1
  O  O10  1  0.90402737  0.40023757  0.33657442  1
  O  O11  1  0.37199964  0.85343092  0.89832659  1
  O  O12  1  0.85285079  0.37300828  0.89689320  1
  O  O13  1  0.87095331  0.87154477  0.40446687  1
  O  O14  1  0.86606011  0.86630331  0.86570467  1
"
LiLa2WO6,mp-1041394,10,-8.05436980827174,-7.675618022119285,-7.547568420556827,-0.676348053252819,0.35659601562457777,"# generated using pymatgen
data_LiLa2WO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.56608110
_cell_length_b   5.56610333
_cell_length_c   5.56608685
_cell_angle_alpha   62.47608409
_cell_angle_beta   62.47634847
_cell_angle_gamma   62.47621196
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiLa2WO6
_chemical_formula_sum   'Li1 La2 W1 O6'
_cell_volume   128.66714114
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.74853384  0.74853186  0.74853114  1
  La  La1  1  0.25263612  0.25263773  0.25263852  1
  Li  Li2  1  0.50040653  0.50040660  0.50040670  1
  W  W3  1  -0.00006242  -0.00006228  -0.00006248  1
  O  O4  1  0.75806297  0.32898454  0.15408214  1
  O  O5  1  0.15408041  0.75806279  0.32898482  1
  O  O6  1  0.32898471  0.15408141  0.75806795  1
  O  O7  1  0.24093177  0.67067047  0.84575451  1
  O  O8  1  0.67066963  0.84575494  0.24092679  1
  O  O9  1  0.84575644  0.24093195  0.67066992  1
"
LiBi(WO4)2,mp-1041820,12,-6.903761417619546,-6.897937667494816,-6.811031481543619,1.8906764161227767,0.11897423141435781,"# generated using pymatgen
data_LiBi(WO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10052099
_cell_length_b   6.26185102
_cell_length_c   7.24564560
_cell_angle_alpha   127.21313380
_cell_angle_beta   110.89393887
_cell_angle_gamma   89.52737025
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiBi(WO4)2
_chemical_formula_sum   'Li1 Bi1 W2 O8'
_cell_volume   165.35158762
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.72593494  0.72613688  0.15575289  1
  Bi  Bi1  1  0.12092495  0.21218201  0.09983298  1
  W  W2  1  0.86687230  0.38855082  0.61575323  1
  W  W3  1  0.36807008  0.04170030  0.58576936  1
  O  O4  1  0.11262465  0.74028047  0.84927218  1
  O  O5  1  0.61767214  0.40332217  0.37086093  1
  O  O6  1  0.15322957  0.25178270  0.79526569  1
  O  O7  1  0.58235434  0.98103049  0.39704196  1
  O  O8  1  0.61003063  0.01851667  0.82401540  1
  O  O9  1  0.10350448  0.69178588  0.34243125  1
  O  O10  1  0.07269269  0.16876072  0.39609821  1
  O  O11  1  0.65025025  0.44616690  0.80341196  1
"
BaLiMn4O8,mp-1182375,14,-7.137521006991914,-6.92385839588101,-6.728741023430892,-0.7969555485607556,1.8077432143016408,"# generated using pymatgen
data_BaLiMn4O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17380731
_cell_length_b   7.33086624
_cell_length_c   7.23854954
_cell_angle_alpha   86.11612141
_cell_angle_beta   77.33621054
_cell_angle_gamma   77.49827755
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaLiMn4O8
_chemical_formula_sum   'Ba1 Li1 Mn4 O8'
_cell_volume   160.38804845
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.47050708  0.00000020  -0.00000005  1
  Li  Li1  1  0.66087602  0.50000001  0.50000005  1
  Mn  Mn2  1  0.31455614  0.82696034  0.47862875  1
  Mn  Mn3  1  0.62014525  0.17303968  0.52137121  1
  Mn  Mn4  1  0.20439324  0.49022282  0.17718171  1
  Mn  Mn5  1  0.87179773  0.50977712  0.82281828  1
  O  O6  1  0.23493964  0.64994899  0.95011667  1
  O  O7  1  0.16466639  0.31795254  0.38786244  1
  O  O8  1  0.07761026  0.02946576  0.65985232  1
  O  O9  1  0.87048135  0.68204742  0.61213762  1
  O  O10  1  0.47538302  0.36243512  0.71989213  1
  O  O11  1  0.83500537  0.35005095  0.04988328  1
  O  O12  1  0.76692833  0.97053421  0.34014771  1
  O  O13  1  0.55771013  0.63756484  0.28010791  1
"
Ba2LiPr(CuO2)4,mp-6779,16,-5.856787783231137,-5.6964603749366365,-5.617766365747057,-1.6516507494808603,0.3352041470332692,"# generated using pymatgen
data_Ba2LiPr(CuO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.87619829
_cell_length_b   3.97018886
_cell_length_c   14.62918833
_cell_angle_alpha   97.11223103
_cell_angle_beta   90.00000062
_cell_angle_gamma   90.00000044
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2LiPr(CuO2)4
_chemical_formula_sum   'Ba2 Li1 Pr1 Cu4 O8'
_cell_volume   223.39980741
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.49975858  0.37914130  0.74113010  1
  Ba  Ba1  1  0.49975856  0.62085869  0.25886990  1
  Pr  Pr2  1  0.50006036  0.50000001  0.00000003  1
  Li  Li3  1  0.49951415  0.49999997  0.50000000  1
  Cu  Cu4  1  0.00005243  0.94547302  0.88007410  1
  Cu  Cu5  1  0.00005224  0.05452699  0.11992588  1
  Cu  Cu6  1  0.00021968  0.81097041  0.57834196  1
  Cu  Cu7  1  0.00021968  0.18902959  0.42165798  1
  O  O8  1  0.00060298  0.29318956  0.55548387  1
  O  O9  1  0.00060299  0.70681047  0.44451618  1
  O  O10  1  0.00005221  0.45071376  0.89111561  1
  O  O11  1  0.00005220  0.54928624  0.10888439  1
  O  O12  1  0.50003565  0.95140810  0.89255061  1
  O  O13  1  0.50003574  0.04859190  0.10744937  1
  O  O14  1  -0.00050872  0.86849942  0.70569134  1
  O  O15  1  -0.00050872  0.13150060  0.29430868  1
"
