pretty_formula,material_id,num_atoms,Li_voltage,Na_voltage,cif
LiNb2V2O10,mp-2236644,15,-1.820763964569447,0.5282626067802294,"# generated using pymatgen
data_LiNb2V2O10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.01629952
_cell_length_b   6.99153668
_cell_length_c   4.18474673
_cell_angle_alpha   88.84392244
_cell_angle_beta   89.11293174
_cell_angle_gamma   90.03043067
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiNb2V2O10
_chemical_formula_sum   'Li1 Nb2 V2 O10'
_cell_volume   205.21510325
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.47412669  0.46620473  0.06652874  1
  Nb  Nb1  1  0.24113284  0.23822030  0.66436559  1
  Nb  Nb2  1  0.75982900  0.75933353  0.22552940  1
  V  V3  1  0.25148574  0.74422422  0.50973532  1
  V  V4  1  0.74448346  0.25209727  0.52004884  1
  O  O5  1  0.04349815  0.74057180  0.28625515  1
  O  O6  1  0.25469689  0.95511483  0.72892506  1
  O  O7  1  0.26017225  0.26049032  0.23182582  1
  O  O8  1  0.25723176  0.53809704  0.74837746  1
  O  O9  1  0.45639393  0.73813522  0.27176838  1
  O  O10  1  0.52489403  0.26590394  0.75253529  1
  O  O11  1  0.72666191  0.47118914  0.28413331  1
  O  O12  1  0.75230432  0.75488763  0.79395753  1
  O  O13  1  0.74800226  0.03422401  0.29205752  1
  O  O14  1  0.96805079  0.25353002  0.73333358  1
"
LiCo2(PO4)2,mp-849770,13,-3.511745591080053,-1.5586001957252495,"# generated using pymatgen
data_LiCo2(PO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00477005
_cell_length_b   8.59284271
_cell_length_c   5.07073959
_cell_angle_alpha   76.85115810
_cell_angle_beta   61.18357585
_cell_angle_gamma   74.28117976
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCo2(PO4)2
_chemical_formula_sum   'Li1 Co2 P2 O8'
_cell_volume   182.70133601
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.92437171  0.01622077  0.06357814  1
  Co  Co1  1  0.19724189  0.25288049  0.31727844  1
  Co  Co2  1  0.82216598  0.74636989  0.66711765  1
  P  P3  1  0.17780802  0.63054747  0.04940486  1
  P  P4  1  0.58033868  0.11945472  0.69401001  1
  O  O5  1  0.03142600  0.78048928  0.24087658  1
  O  O6  1  0.24204446  0.47887401  0.24743114  1
  O  O7  1  0.25745345  0.14452808  0.97364805  1
  O  O8  1  0.53855125  0.10750547  0.41513566  1
  O  O9  1  0.46769500  0.67475979  0.75891868  1
  O  O10  1  0.76766035  0.24797704  0.64022797  1
  O  O11  1  0.94589989  0.61200133  0.94249138  1
  O  O12  1  0.78332336  0.95232064  0.76336146  1
"
LiTiVO4,mp-690490,7,-1.6040677022097922,2.334919921080802,"# generated using pymatgen
data_LiTiVO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.94788244
_cell_length_b   4.84641219
_cell_length_c   4.85865737
_cell_angle_alpha   89.57819981
_cell_angle_beta   89.99999922
_cell_angle_gamma   89.99999941
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiTiVO4
_chemical_formula_sum   'Li1 Ti1 V1 O4'
_cell_volume   69.41207267
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.04267087  -0.00000001  0.50000001  1
  Ti  Ti1  1  0.55272138  0.50000000  0.50000002  1
  V  V2  1  0.02898769  -0.00000001  -0.00000002  1
  O  O3  1  0.02427211  0.32728946  0.29244224  1
  O  O4  1  0.52812144  0.83044131  0.23819552  1
  O  O5  1  0.52812143  0.16955870  0.76180448  1
  O  O6  1  0.02427211  0.67271054  0.70755775  1
"
LiCr2(WO4)2,mp-608594,13,-0.6080835055469107,3.432448497931672,"# generated using pymatgen
data_LiCr2(WO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.80222895
_cell_length_b   5.63533104
_cell_length_c   5.63533136
_cell_angle_alpha   67.86453085
_cell_angle_beta   89.23341070
_cell_angle_gamma   89.23340941
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCr2(WO4)2
_chemical_formula_sum   'Li1 Cr2 W2 O8'
_cell_volume   141.24557786
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50000000  0.46488199  0.53511803  1
  Cr  Cr1  1  0.50147983  0.22954873  0.24415848  1
  Cr  Cr2  1  0.49852020  0.75584151  0.77045129  1
  W  W3  1  -0.00000002  0.74391647  0.25608352  1
  W  W4  1  0.00000006  0.24224710  0.75775294  1
  O  O5  1  0.18148423  0.61007496  0.61123042  1
  O  O6  1  0.81851578  0.38876956  0.38992504  1
  O  O7  1  0.81498813  0.88212539  0.91358612  1
  O  O8  1  0.18501181  0.08641390  0.11787455  1
  O  O9  1  0.67003897  0.39152224  0.88797825  1
  O  O10  1  0.32996102  0.11202175  0.60847781  1
  O  O11  1  0.31423671  0.59122485  0.12954041  1
  O  O12  1  0.68576328  0.87045957  0.40877515  1
"
LiMo3W(SeS3)2,mp-1027795,13,-0.06517972460970167,1.9864716445610053,"# generated using pymatgen
data_LiMo3W(SeS3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.23929192
_cell_length_b   3.23923282
_cell_length_c   39.47670596
_cell_angle_alpha   89.99294978
_cell_angle_beta   90.00129485
_cell_angle_gamma   120.00014752
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMo3W(SeS3)2
_chemical_formula_sum   'Li1 Mo3 W1 Se2 S6'
_cell_volume   358.72623537
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.99986744  1.00001869  0.18744272  1
  Mo  Mo1  1  0.33339691  0.66667523  0.10280411  1
  Mo  Mo2  1  0.66657217  0.33306008  0.27186767  1
  Mo  Mo3  1  0.66684526  0.33370791  0.65877606  1
  W  W4  1  0.33323523  0.66654934  0.46951506  1
  Se  Se5  1  0.33348404  0.66696823  0.70179027  1
  Se  Se6  1  0.33353022  0.66709696  0.61575795  1
  S  S7  1  0.33321985  0.66632119  0.31060507  1
  S  S8  1  0.66675631  0.33341024  0.06402377  1
  S  S9  1  0.66658066  0.33326276  0.43017848  1
  S  S10  1  0.66670081  0.33327353  0.14308085  1
  S  S11  1  0.66655293  0.33316724  0.50884901  1
  S  S12  1  0.33326029  0.66648739  0.23155694  1
"
LiV(WO4)2,mp-1041824,12,-3.447058577453954,-1.428434618790435,"# generated using pymatgen
data_LiV(WO4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.93890542
_cell_length_b   6.82915023
_cell_length_c   5.39966383
_cell_angle_alpha   109.66069367
_cell_angle_beta   104.16825263
_cell_angle_gamma   89.05331483
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiV(WO4)2
_chemical_formula_sum   'Li1 V1 W2 O8'
_cell_volume   165.85547254
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  -0.11892181  0.42464552  0.43466470  1
  V  V1  1  0.51144238  0.00718288  0.50682376  1
  W  W2  1  0.77169327  0.83803400  -0.00820392  1
  W  W3  1  0.25230103  0.17059153  1.01466846  1
  O  O4  1  0.85420053  0.59858500  0.77867623  1
  O  O5  1  0.65944977  0.76630820  0.25280631  1
  O  O6  1  0.88327322  0.03529524  0.79533985  1
  O  O7  1  0.61469678  0.15899143  0.26000065  1
  O  O8  1  0.36467894  0.25136893  0.76035752  1
  O  O9  1  0.14843613  0.40419696  0.22439551  1
  O  O10  1  0.14347542  0.97273064  0.21072169  1
  O  O11  1  0.41527449  0.87206966  0.76974932  1
"
LiTi(BiO3)2,mp-1397541,10,-4.505661446964612,-1.8044734681442325,"# generated using pymatgen
data_LiTi(BiO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.12858008
_cell_length_b   6.12878887
_cell_length_c   6.12864002
_cell_angle_alpha   128.68266603
_cell_angle_beta   128.68167765
_cell_angle_gamma   75.52469989
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiTi(BiO3)2
_chemical_formula_sum   'Li1 Ti1 Bi2 O6'
_cell_volume   136.48774613
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.79918945  0.79927614  -0.00008775  1
  Li  Li1  1  0.28196292  0.28191729  0.00005230  1
  Bi  Bi2  1  0.99438851  0.49435428  0.50002522  1
  Bi  Bi3  1  0.49406694  0.99435477  0.49970438  1
  O  O4  1  0.07929088  0.07878004  0.00052654  1
  O  O5  1  0.61463032  0.61486243  -0.00023682  1
  O  O6  1  0.61448145  0.10953298  0.00014406  1
  O  O7  1  0.61448215  0.61463714  0.50525926  1
  O  O8  1  0.10925632  0.61417909  -0.00015173  1
  O  O9  1  0.10924213  0.10909683  0.49476452  1
"
LiFe2(ClO)2,mp-540828,7,-2.0816447328685355,0.0027303015396054064,"# generated using pymatgen
data_LiFe2(ClO)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.46388578
_cell_length_b   3.90305274
_cell_length_c   8.45223290
_cell_angle_alpha   89.99999927
_cell_angle_beta   90.00000069
_cell_angle_gamma   90.06977175
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiFe2(ClO)2
_chemical_formula_sum   'Li1 Fe2 Cl2 O2'
_cell_volume   114.27181261
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.00000000  0.50000000  0.46247476  1
  Fe  Fe1  1  0.49999998  -0.00000002  0.07115106  1
  Fe  Fe2  1  -0.00000000  0.50000002  0.87963352  1
  Cl  Cl3  1  -0.00000002  0.00000001  0.30451218  1
  Cl  Cl4  1  0.50000000  0.50000001  0.64938188  1
  O  O5  1  0.00000002  -0.00000002  0.93873440  1
  O  O6  1  0.50000000  0.50000000  0.05410920  1
"
K2LiMnF6,mp-557397,10,-3.6840123128055238,-1.627197274048621,"# generated using pymatgen
data_K2LiMnF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.77314985
_cell_length_b   5.80033885
_cell_length_c   5.80151306
_cell_angle_alpha   59.68347494
_cell_angle_beta   60.14814869
_cell_angle_gamma   60.16837096
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K2LiMnF6
_chemical_formula_sum   'K2 Li1 Mn1 F6'
_cell_volume   137.36389871
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.24999999  0.25000010  0.24999991  1
  K  K1  1  0.75000009  0.75000002  0.74999981  1
  Li  Li2  1  0.50000007  0.50000004  0.49999987  1
  Mn  Mn3  1  0.00000009  -0.00000010  -0.00000011  1
  F  F4  1  0.23347455  0.76652537  0.23347468  1
  F  F5  1  0.76753895  0.76753897  0.23246112  1
  F  F6  1  0.76652542  0.23347451  0.76652547  1
  F  F7  1  0.74227808  0.25772186  0.25772185  1
  F  F8  1  0.25772180  0.74227823  0.74227836  1
  F  F9  1  0.23246098  0.23246097  0.76753906  1
"
Ba2LiPr(CuO2)4,mp-6779,16,-0.9145492505191397,1.5155548965141303,"# generated using pymatgen
data_Ba2LiPr(CuO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.87619829
_cell_length_b   3.97018886
_cell_length_c   14.62918833
_cell_angle_alpha   97.11223103
_cell_angle_beta   90.00000062
_cell_angle_gamma   90.00000044
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2LiPr(CuO2)4
_chemical_formula_sum   'Ba2 Li1 Pr1 Cu4 O8'
_cell_volume   223.39980741
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.49975858  0.37914130  0.74113010  1
  Ba  Ba1  1  0.49975856  0.62085869  0.25886990  1
  Pr  Pr2  1  0.50006036  0.50000001  0.00000003  1
  Li  Li3  1  0.49951415  0.49999997  0.50000000  1
  Cu  Cu4  1  0.00005243  0.94547302  0.88007410  1
  Cu  Cu5  1  0.00005224  0.05452699  0.11992588  1
  Cu  Cu6  1  0.00021968  0.81097041  0.57834196  1
  Cu  Cu7  1  0.00021968  0.18902959  0.42165798  1
  O  O8  1  0.00060298  0.29318956  0.55548387  1
  O  O9  1  0.00060299  0.70681047  0.44451618  1
  O  O10  1  0.00005221  0.45071376  0.89111561  1
  O  O11  1  0.00005220  0.54928624  0.10888439  1
  O  O12  1  0.50003565  0.95140810  0.89255061  1
  O  O13  1  0.50003574  0.04859190  0.10744937  1
  O  O14  1  -0.00050872  0.86849942  0.70569134  1
  O  O15  1  -0.00050872  0.13150060  0.29430868  1
"
