pretty_formula,filename,num_atoms,host_energy,Li_energy,Na_energy,host_energy_per_atom,Li_energy_per_atom,Na_energy_per_atom,Li_voltage,Na_voltage,host_structure,Li_structure,Na_structure
Co3Ni3O8,gen_0,,,,,,,,,,,,
Cr2Ni2O5,gen_1,,,,,,,,,,,,
Cr5O6,gen_10,,,,,,,,,,,,
NiO,gen_11,,,,,,,,,,,,
Cr2FeO4F,gen_12,,,,,,,,,,,,
Li(Ni3O4)2,gen_13,15,-65.8820385054514,-70.36549087028939,-68.23833137962819,-4.7058598932465285,-4.691032724685959,-4.549222091975213,-0.4597476351620129,-1.6630071258232122,"# generated using pymatgen
data_Ni3O4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.88121742
_cell_length_b   5.88375548
_cell_length_c   5.86868311
_cell_angle_alpha   60.02191212
_cell_angle_beta   60.03451299
_cell_angle_gamma   59.85132785
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ni3O4
_chemical_formula_sum   'Ni6 O8'
_cell_volume   143.49666502
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni1  1  0.86981808  0.07275347  0.13241807  1.0
  Ni  Ni2  1  0.86992179  0.57272641  0.63252301  1.0
  Ni  Ni3  1  0.24788344  0.94781087  0.50211360  1.0
  Ni  Ni4  1  0.36988905  0.57281513  0.13256148  1.0
  Ni  Ni5  1  0.49193875  0.19832205  0.76282041  1.0
  Ni  Ni6  1  0.86989608  0.57282968  0.13243549  1.0
  O  O1  1  0.13488134  0.80110679  0.90862196  1.0
  O  O2  1  0.65804408  0.81992214  0.35292213  1.0
  O  O3  1  0.09425767  0.35599848  0.37084002  1.0
  O  O4  1  0.64539807  0.78968360  0.89375488  1.0
  O  O5  1  0.11048196  0.81308757  0.36377193  1.0
  O  O6  1  0.60490908  0.34375086  0.35634604  1.0
  O  O7  1  0.08166238  0.32526975  0.91186294  1.0
  O  O8  1  0.62931295  0.33238174  0.90137267  1.0
","# generated using pymatgen
data_Li(Ni3O4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.79297854
_cell_length_b   5.79354071
_cell_length_c   6.11939327
_cell_angle_alpha   61.75283861
_cell_angle_beta   61.65656843
_cell_angle_gamma   59.89215667
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li(Ni3O4)2
_chemical_formula_sum   'Li1 Ni6 O8'
_cell_volume   148.72667992
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.37019880  0.07206601  0.13247231  1.0
  Ni  Ni1  1  0.86968402  0.07261571  0.13243097  1.0
  Ni  Ni2  1  0.86985503  0.57277279  0.63250741  1.0
  Ni  Ni3  1  0.22394658  0.92797163  0.56805163  1.0
  Ni  Ni4  1  0.36996134  0.57285880  0.13248314  1.0
  Ni  Ni5  1  0.51558002  0.21786197  0.69686406  1.0
  Ni  Ni6  1  0.87019523  0.57235659  0.13249690  1.0
  O  O1  1  0.10148404  0.80102090  0.94466201  1.0
  O  O2  1  0.63283126  0.82196791  0.37087093  1.0
  O  O3  1  0.11902466  0.33549269  0.37088732  1.0
  O  O4  1  0.62094948  0.80998936  0.89405800  1.0
  O  O5  1  0.11902247  0.82193722  0.37109266  1.0
  O  O6  1  0.63832712  0.34426096  0.32028735  1.0
  O  O7  1  0.10688956  0.32318257  0.89413111  1.0
  O  O8  1  0.62058576  0.32368974  0.89386628  1.0
","# generated using pymatgen
data_Na(Ni3O4)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.84506267
_cell_length_b   5.84402655
_cell_length_c   6.20032648
_cell_angle_alpha   61.91734347
_cell_angle_beta   61.79121481
_cell_angle_gamma   59.89018077
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na(Ni3O4)2
_chemical_formula_sum   'Na1 Ni6 O8'
_cell_volume   153.68771680
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.36994341  0.07255885  0.13246955  1.0
  Ni  Ni1  1  0.86983233  0.07258056  0.13247294  1.0
  Ni  Ni2  1  0.86987928  0.57270539  0.63246957  1.0
  Ni  Ni3  1  0.21702924  0.92142803  0.58820834  1.0
  Ni  Ni4  1  0.36996385  0.57272972  0.13246926  1.0
  Ni  Ni5  1  0.52253079  0.22443862  0.67676225  1.0
  Ni  Ni6  1  0.87001702  0.57250663  0.13247646  1.0
  O  O1  1  0.09548699  0.79658899  0.95886758  1.0
  O  O2  1  0.63462355  0.81007698  0.39354964  1.0
  O  O3  1  0.10605049  0.33819715  0.39422473  1.0
  O  O4  1  0.63366332  0.80728786  0.87054158  1.0
  O  O5  1  0.10768311  0.81086345  0.39174034  1.0
  O  O6  1  0.64446020  0.34845989  0.30610027  1.0
  O  O7  1  0.10510807  0.33531483  0.87149120  1.0
  O  O8  1  0.63226369  0.33430792  0.87331836  1.0
"
Cr3NiO6,gen_14,,,,,,,,,,,,
FeNi3O4,gen_15,,,,,,,,,,,,
LiCrNiO3,gen_16,6,-30.614920460809934,-36.34152475860271,-34.35535549540238,-6.122984092161987,-6.056920793100452,-5.725892582567063,0.7834042977927753,-0.2788649654075557,"# generated using pymatgen
data_CrNiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.91123668
_cell_length_b   2.91119545
_cell_length_c   6.46294236
_cell_angle_alpha   102.98025767
_cell_angle_beta   102.98103497
_cell_angle_gamma   90.00859355
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrNiO3
_chemical_formula_sum   'Cr1 Ni1 O3'
_cell_volume   51.93702659
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr1  1  0.08037852  0.28614487  0.45806897  1.0
  Ni  Ni1  1  0.38446935  0.59027435  0.06551987  1.0
  O  O1  1  0.56293369  0.76871008  0.42313639  1.0
  O  O2  1  0.22481088  0.43054613  0.74698978  1.0
  O  O3  1  0.91592125  0.12175867  0.12854275  1.0
","# generated using pymatgen
data_LiCrNiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.96173838
_cell_length_b   2.96160513
_cell_length_c   6.58229258
_cell_angle_alpha   102.96698835
_cell_angle_beta   102.95608035
_cell_angle_gamma   90.01370480
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCrNiO3
_chemical_formula_sum   'Li1 Cr1 Ni1 O3'
_cell_volume   54.75417738
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.73959788  0.94521995  0.77574810  1.0
  Cr  Cr1  1  0.07578666  0.28153873  0.44843469  1.0
  Ni  Ni1  1  0.38908855  0.59474628  0.07480438  1.0
  O  O1  1  0.56501555  0.77068339  0.42697061  1.0
  O  O2  1  0.22790622  0.43356847  0.75285210  1.0
  O  O3  1  0.91098253  0.11685911  0.11874544  1.0
","# generated using pymatgen
data_NaCrNiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.06942018
_cell_length_b   3.06931074
_cell_length_c   6.73361238
_cell_angle_alpha   103.15145135
_cell_angle_beta   103.14300188
_cell_angle_gamma   90.00596454
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaCrNiO3
_chemical_formula_sum   'Na1 Cr1 Ni1 O3'
_cell_volume   60.06547981
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.74076833  0.94647833  0.77852354  1.0
  Cr  Cr1  1  0.07444666  0.28017273  0.44562833  1.0
  Ni  Ni1  1  0.39233083  0.59808121  0.08154894  1.0
  O  O1  1  0.55941261  0.76511548  0.41569878  1.0
  O  O2  1  0.22533860  0.43099707  0.74743549  1.0
  O  O3  1  0.91608035  0.12177112  0.12872024  1.0
"
CrCoO3,gen_17,,,,,,,,,,,,
