pretty_formula,filename,num_atoms,host_energy,Li_energy,Na_energy,host_energy_per_atom,Li_energy_per_atom,Na_energy_per_atom,Li_voltage,Na_voltage,host_structure,Li_structure,Na_structure
CrNiO2,gen_0,,,,,,,,,,,,
LiVCr2O6,gen_1,10,-66.83649948347384,-72.99709613732855,-71.65318507119738,-7.426277720385983,-7.299709613732856,-7.165318507119738,1.2173966538547107,0.7973855877235407,"# generated using pymatgen
data_VCr2O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.04837102
_cell_length_b   5.15208729
_cell_length_c   5.63913714
_cell_angle_alpha   97.58830530
_cell_angle_beta   115.86669193
_cell_angle_gamma   119.03746079
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VCr2O6
_chemical_formula_sum   'V1 Cr2 O6'
_cell_volume   103.78527258
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V1  1  0.56441422  0.68394767  0.51997241  1.0
  Cr  Cr1  1  0.21530419  0.57264607  0.92685508  1.0
  Cr  Cr2  1  0.55998791  0.22511915  0.94381927  1.0
  O  O1  1  0.64371190  0.97148990  0.13382227  1.0
  O  O2  1  0.44047019  0.41108618  0.17402190  1.0
  O  O3  1  0.08812707  0.60387747  0.18740864  1.0
  O  O4  1  0.02356688  0.79337811  0.71116611  1.0
  O  O5  1  0.38069188  0.44877919  0.67930195  1.0
  O  O6  1  0.70953608  0.09345813  0.68720189  1.0
","# generated using pymatgen
data_LiVCr2O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.05639088
_cell_length_b   5.05605602
_cell_length_c   5.40340298
_cell_angle_alpha   90.14297279
_cell_angle_beta   117.88010430
_cell_angle_gamma   119.89640625
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiVCr2O6
_chemical_formula_sum   'Li1 V1 Cr2 O6'
_cell_volume   100.73092530
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.13073379  0.00955775  0.30973917  1.0
  V  V1  1  0.58749417  0.73690645  0.49522423  1.0
  Cr  Cr1  1  0.18679830  0.53730274  0.89388923  1.0
  Cr  Cr2  1  0.57300255  0.22981833  0.97263415  1.0
  O  O1  1  0.65592811  0.93745534  0.18171224  1.0
  O  O2  1  0.40570719  0.35571913  0.18175458  1.0
  O  O3  1  0.07419483  0.60626806  0.18194390  1.0
  O  O4  1  0.03964807  0.82135658  0.68589397  1.0
  O  O5  1  0.41029294  0.47610330  0.68538492  1.0
  O  O6  1  0.69467499  0.10574531  0.68602139  1.0
","# generated using pymatgen
data_NaVCr2O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.21138833
_cell_length_b   5.21172361
_cell_length_c   5.43614575
_cell_angle_alpha   90.04016315
_cell_angle_beta   118.62630586
_cell_angle_gamma   119.97465209
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaVCr2O6
_chemical_formula_sum   'Na1 V1 Cr2 O6'
_cell_volume   106.52279238
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.11980087  0.00380067  0.29316550  1.0
  V  V1  1  0.59071343  0.73893563  0.49967237  1.0
  Cr  Cr1  1  0.18392839  0.53572992  0.88962139  1.0
  Cr  Cr2  1  0.57140184  0.22920707  0.97055963  1.0
  O  O1  1  0.61892161  0.93795728  0.18029617  1.0
  O  O2  1  0.44200093  0.39150727  0.18037121  1.0
  O  O3  1  0.07233455  0.56852138  0.18036026  1.0
  O  O4  1  0.03556286  0.82441919  0.69340267  1.0
  O  O5  1  0.42484630  0.48766328  0.69320415  1.0
  O  O6  1  0.69896418  0.09849132  0.69354441  1.0
"
Co3CuO4,gen_10,,,,,,,,,,,,
LiEuCrFeO6,gen_100,10,-66.5151382631273,-72.54560784464772,-71.56683840868928,-7.390570918125255,-7.254560784464772,-7.1566838408689275,1.0872695815204212,1.0324001455619807,"# generated using pymatgen
data_EuCrFeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.93489902
_cell_length_b   5.20616475
_cell_length_c   6.04587608
_cell_angle_alpha   115.58639556
_cell_angle_beta   114.15376568
_cell_angle_gamma   89.85562212
_symmetry_Int_Tables_number   1
_chemical_formula_structural   EuCrFeO6
_chemical_formula_sum   'Eu1 Cr1 Fe1 O6'
_cell_volume   124.93568606
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu1  1  0.03997311  0.63217203  0.73624844  1.0
  Cr  Cr1  1  0.76146906  0.85416731  0.17940363  1.0
  Fe  Fe1  1  0.27649687  0.36923969  0.20974836  1.0
  O  O1  1  0.96088071  0.03605730  0.07994384  1.0
  O  O2  1  0.95279082  0.56486047  0.07568430  1.0
  O  O3  1  0.46632809  0.03949057  0.07577108  1.0
  O  O4  1  0.46286122  0.57274921  0.08049538  1.0
  O  O5  1  0.93013182  0.02302716  0.51633988  1.0
  O  O6  1  0.46100552  0.55394887  0.57920348  1.0
","# generated using pymatgen
data_LiEuCrFeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.11592492
_cell_length_b   5.17709391
_cell_length_c   6.08330257
_cell_angle_alpha   115.22358026
_cell_angle_beta   114.87020356
_cell_angle_gamma   90.00140640
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiEuCrFeO6
_chemical_formula_sum   'Li1 Eu1 Cr1 Fe1 O6'
_cell_volume   129.04820491
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.62679785  0.21905995  0.91062185  1.0
  Eu  Eu1  1  0.05215109  0.64407780  0.76061457  1.0
  Cr  Cr1  1  0.76361200  0.85613388  0.18360265  1.0
  Fe  Fe1  1  0.27920489  0.37195754  0.21515978  1.0
  O  O1  1  0.94977952  0.04109603  0.06722736  1.0
  O  O2  1  0.94854227  0.55341132  0.06707972  1.0
  O  O3  1  0.46193892  0.04208351  0.06757675  1.0
  O  O4  1  0.46104842  0.55458121  0.06754145  1.0
  O  O5  1  0.93272989  0.02550751  0.52109767  1.0
  O  O6  1  0.46333128  0.55670194  0.58395272  1.0
","# generated using pymatgen
data_NaEuCrFeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09634926
_cell_length_b   5.21397503
_cell_length_c   6.05426924
_cell_angle_alpha   115.56892935
_cell_angle_beta   114.91945724
_cell_angle_gamma   89.93365041
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaEuCrFeO6
_chemical_formula_sum   'Na1 Eu1 Cr1 Fe1 O6'
_cell_volume   128.35943738
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.55393334  0.14613008  0.76462340  1.0
  Eu  Eu1  1  0.05797733  0.64995767  0.77179800  1.0
  Cr  Cr1  1  0.77153409  0.86403300  0.19944035  1.0
  Fe  Fe1  1  0.28257222  0.37531413  0.22204424  1.0
  O  O1  1  0.96265571  0.04631266  0.08679008  1.0
  O  O2  1  0.95866234  0.56570757  0.08413972  1.0
  O  O3  1  0.46917772  0.04724615  0.08468590  1.0
  O  O4  1  0.46784563  0.56924365  0.08731343  1.0
  O  O5  1  0.94465873  0.03708974  0.54522072  1.0
  O  O6  1  0.47011904  0.56357602  0.59841871  1.0
"
Cr2NiO4,gen_1000,,,,,,,,,,,,
LiNi7O8,gen_1001,16,-71.9124404855985,-77.16236280588082,-75.66128478189442,-4.7941626990399,-4.822647675367551,-4.7288302988684014,0.30672232028232305,-0.27045570370407157,"# generated using pymatgen
data_Ni7O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.93267743
_cell_length_b   5.93029096
_cell_length_c   5.93791746
_cell_angle_alpha   60.07229460
_cell_angle_beta   60.04984071
_cell_angle_gamma   60.05568746
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ni7O8
_chemical_formula_sum   'Ni7 O8'
_cell_volume   147.92068035
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni1  1  0.04381446  0.26109889  0.18828117  1.0
  Ni  Ni2  1  0.04386078  0.76110730  0.68826757  1.0
  Ni  Ni3  1  0.54386472  0.26107392  0.18829383  1.0
  Ni  Ni4  1  0.54383518  0.76107988  0.68828770  1.0
  Ni  Ni5  1  0.04382395  0.26109751  0.68825553  1.0
  Ni  Ni6  1  0.54383459  0.76108019  0.18827059  1.0
  Ni  Ni7  1  0.54385850  0.26104195  0.68829931  1.0
  O  O1  1  0.31985928  0.48520591  0.91221423  1.0
  O  O2  1  0.29383968  0.01106731  0.43820481  1.0
  O  O3  1  0.31989563  0.48499584  0.46446283  1.0
  O  O4  1  0.31979378  0.03707521  0.91220246  1.0
  O  O5  1  0.76776082  0.03703935  0.46432966  1.0
  O  O6  1  0.76783199  0.48517192  0.46438156  1.0
  O  O7  1  0.76775097  0.03732416  0.91208334  1.0
  O  O8  1  0.79382667  0.51106178  0.93837731  1.0
","# generated using pymatgen
data_LiNi7O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.94502221
_cell_length_b   5.94260815
_cell_length_c   5.95032236
_cell_angle_alpha   60.07095434
_cell_angle_beta   60.04748980
_cell_angle_gamma   60.05610751
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiNi7O8
_chemical_formula_sum   'Li1 Ni7 O8'
_cell_volume   148.84298009
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.04399253  0.76105645  0.18822982  1.0
  Ni  Ni1  1  0.04377006  0.26116643  0.18827678  1.0
  Ni  Ni2  1  0.04397694  0.76110450  0.68820262  1.0
  Ni  Ni3  1  0.54396430  0.26103579  0.18829842  1.0
  Ni  Ni4  1  0.54389266  0.76103127  0.68822842  1.0
  Ni  Ni5  1  0.04376721  0.26105870  0.68828956  1.0
  Ni  Ni6  1  0.54383531  0.76102517  0.18830706  1.0
  Ni  Ni7  1  0.54372847  0.26126177  0.68825643  1.0
  O  O1  1  0.29784471  0.50730654  0.93413569  1.0
  O  O2  1  0.29390023  0.01092104  0.43849100  1.0
  O  O3  1  0.29780870  0.50719549  0.44234558  1.0
  O  O4  1  0.29773910  0.01497309  0.93433047  1.0
  O  O5  1  0.78993951  0.01488325  0.44213883  1.0
  O  O6  1  0.78980823  0.50724726  0.44239618  1.0
  O  O7  1  0.78997221  0.01523749  0.93425457  1.0
  O  O8  1  0.79373591  0.51106323  0.93817199  1.0
","# generated using pymatgen
data_NaNi7O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.01427039
_cell_length_b   5.96735108
_cell_length_c   6.03229749
_cell_angle_alpha   60.16431233
_cell_angle_beta   59.39477544
_cell_angle_gamma   60.45602849
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaNi7O8
_chemical_formula_sum   'Na1 Ni7 O8'
_cell_volume   153.07445452
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.04386901  0.76109090  0.18827180  1.0
  Ni  Ni1  1  0.04386527  0.26109691  0.18827046  1.0
  Ni  Ni2  1  0.04380533  0.76105241  0.68832279  1.0
  Ni  Ni3  1  0.54389262  0.26113412  0.18823374  1.0
  Ni  Ni4  1  0.54385417  0.76110484  0.68827168  1.0
  Ni  Ni5  1  0.04389769  0.26105752  0.68822961  1.0
  Ni  Ni6  1  0.54382313  0.76114104  0.18829853  1.0
  Ni  Ni7  1  0.54386887  0.26109142  0.68826205  1.0
  O  O1  1  0.31655647  0.48837817  0.91555982  1.0
  O  O2  1  0.29386118  0.01110812  0.43824859  1.0
  O  O3  1  0.30044546  0.50450608  0.44487072  1.0
  O  O4  1  0.31664974  0.03391377  0.91546634  1.0
  O  O5  1  0.77112985  0.03382905  0.46100004  1.0
  O  O6  1  0.77105124  0.48828040  0.46108163  1.0
  O  O7  1  0.78725431  0.01769116  0.93167041  1.0
  O  O8  1  0.79385176  0.51109156  0.93829520  1.0
"
LiZnCoNiO4,gen_1002,8,-34.399626245713236,-40.2788479682325,-38.85338916497975,-4.9142323208161764,-5.034855996029062,-4.856673645622469,0.9360217225192615,0.4344629192665166,"# generated using pymatgen
data_ZnCoNiO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.12294675
_cell_length_b   3.15465410
_cell_length_c   10.08544337
_cell_angle_alpha   89.95649194
_cell_angle_beta   89.81882673
_cell_angle_gamma   60.37216322
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnCoNiO4
_chemical_formula_sum   'Zn1 Co1 Ni1 O4'
_cell_volume   86.36864101
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn1  1  0.89082174  0.23535084  0.83132870  1.0
  Co  Co1  1  0.22800098  0.56322377  0.55671842  1.0
  Ni  Ni1  1  0.23436360  0.54258551  0.11897659  1.0
  O  O1  1  0.89719267  0.22428396  0.51188664  1.0
  O  O2  1  0.57145455  0.86678329  0.20708562  1.0
  O  O3  1  0.22353609  0.57234617  0.75217350  1.0
  O  O4  1  0.89709762  0.21967651  0.02365032  1.0
","# generated using pymatgen
data_LiZnCoNiO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.07004571
_cell_length_b   3.14168309
_cell_length_c   10.40050210
_cell_angle_alpha   89.74007502
_cell_angle_beta   89.69748787
_cell_angle_gamma   60.91180149
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiZnCoNiO4
_chemical_formula_sum   'Li1 Zn1 Co1 Ni1 O4'
_cell_volume   87.66018377
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.90494841  0.19612408  0.30953202  1.0
  Zn  Zn1  1  0.89461106  0.23313144  0.83393473  1.0
  Co  Co1  1  0.22817946  0.55419037  0.56592152  1.0
  Ni  Ni1  1  0.23011295  0.55293082  0.11227524  1.0
  O  O1  1  0.89954869  0.21192798  0.49904445  1.0
  O  O2  1  0.57903368  0.85058733  0.22067712  1.0
  O  O3  1  0.22443554  0.57774280  0.75213487  1.0
  O  O4  1  0.89103683  0.23335195  0.01859916  1.0
","# generated using pymatgen
data_NaZnCoNiO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.10966937
_cell_length_b   3.17453661
_cell_length_c   11.07202849
_cell_angle_alpha   89.82598888
_cell_angle_beta   89.74723956
_cell_angle_gamma   60.77495940
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaZnCoNiO4
_chemical_formula_sum   'Na1 Zn1 Co1 Ni1 O4'
_cell_volume   95.38644142
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.90915829  0.18315038  0.31525761  1.0
  Zn  Zn1  1  0.89052385  0.23894201  0.83434812  1.0
  Co  Co1  1  0.22570638  0.56736534  0.58488457  1.0
  Ni  Ni1  1  0.23382312  0.54284620  0.09564095  1.0
  O  O1  1  0.89649292  0.22700817  0.52126801  1.0
  O  O2  1  0.58166598  0.84299304  0.19293144  1.0
  O  O3  1  0.22106762  0.58133652  0.75965797  1.0
  O  O4  1  0.89346844  0.22634513  0.00813045  1.0
"
Cr2BO4,gen_1003,,,,,,,,,,,,
Eu2VCrO6,gen_1004,,,,,,,,,,,,
LiCr3O6,gen_1005,10,-65.85453917344292,-70.55063087009853,-67.57036231771934,-7.317171019271435,-7.055063087009853,-6.757036231771934,-0.24710830334438594,-2.3034768557235723,"# generated using pymatgen
data_CrO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.21626234
_cell_length_b   4.94214231
_cell_length_c   4.95255601
_cell_angle_alpha   60.03340407
_cell_angle_beta   90.00834433
_cell_angle_gamma   90.00472179
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrO2
_chemical_formula_sum   'Cr3 O6'
_cell_volume   89.40235951
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr1  1  0.98871685  0.00965285  0.20073529  1.0
  Cr  Cr2  1  0.98874261  0.34257418  0.53463781  1.0
  Cr  Cr3  1  0.48871854  0.67605566  0.86772911  1.0
  O  O1  1  0.74356854  0.67586710  0.53016486  1.0
  O  O2  1  0.74344752  0.33839577  0.20529638  1.0
  O  O3  1  0.74338991  0.01401093  0.86745210  1.0
  O  O4  1  0.23396730  0.67600676  0.20539536  1.0
  O  O5  1  0.23386544  0.01388195  0.53027970  1.0
  O  O6  1  0.23413152  0.33829077  0.86775570  1.0
","# generated using pymatgen
data_LiCr3O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.60564350
_cell_length_b   4.87462106
_cell_length_c   4.89353701
_cell_angle_alpha   60.04841436
_cell_angle_beta   89.71693337
_cell_angle_gamma   89.64289475
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCr3O6
_chemical_formula_sum   'Li1 Cr3 O6'
_cell_volume   95.18904109
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.48870814  0.00847498  0.20260821  1.0
  Cr  Cr1  1  0.98874255  0.01120772  0.19893345  1.0
  Cr  Cr2  1  0.98860081  0.34178941  0.53573023  1.0
  Cr  Cr3  1  0.48875020  0.67625895  0.86751296  1.0
  O  O1  1  0.74694813  0.67928614  0.52297496  1.0
  O  O2  1  0.74708837  0.33044924  0.20828198  1.0
  O  O3  1  0.74672953  0.01797945  0.87084000  1.0
  O  O4  1  0.23062832  0.68070513  0.20843362  1.0
  O  O5  1  0.23073718  0.01818776  0.52320611  1.0
  O  O6  1  0.23026165  0.33045049  0.87223746  1.0
","# generated using pymatgen
data_NaCr3O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.79273065
_cell_length_b   4.94661192
_cell_length_c   4.97086904
_cell_angle_alpha   60.04229336
_cell_angle_beta   89.86402089
_cell_angle_gamma   89.83919598
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaCr3O6
_chemical_formula_sum   'Na1 Cr3 O6'
_cell_volume   102.10259024
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.48874926  0.00712077  0.20385441  1.0
  Cr  Cr1  1  0.98874698  0.01162250  0.19855260  1.0
  Cr  Cr2  1  0.98870853  0.34100070  0.53626353  1.0
  Cr  Cr3  1  0.48874238  0.67541287  0.86855268  1.0
  O  O1  1  0.76247133  0.66532193  0.53826489  1.0
  O  O2  1  0.76059898  0.34692278  0.20569595  1.0
  O  O3  1  0.76076025  0.01733722  0.85740111  1.0
  O  O4  1  0.21591393  0.66666856  0.20605879  1.0
  O  O5  1  0.21510790  0.01771593  0.53748012  1.0
  O  O6  1  0.21739534  0.34566601  0.85863495  1.0
"
